# These numbers were manually extracted from the plot --- not high precision
# http://www.slac.stanford.edu/exp/glast/groups/canda/archive/pass7v6/lat_Performance_files/cPsfEnergy_P7SOURCE_V6.png
# P7SOURCE_V6 PSF, TOTAL, 68% Containment
# Energy: MeV
# Containment Angle: deg		
# energy 	containment_angle
31.9853049046		14.7338699328
55.9145394976		9.5108169211
98.8665785615		5.8124126012
178.8443594432		3.7009807968
316.2277660168		2.2929576819
552.8079211966		1.4206112433
1011.464151536		0.8922674486
1788.4435944316		0.5919393724
3091.0000344312		0.4204964912
5591.4539497557		0.3155076552
10000				0.2641083781
17681.7299131725	0.23673225
31622.7766016838	0.2210825451
55914.5394975565	0.2121937917
97746.0035646149	0.195474049
174813.213956428	0.1901988649
316227.766016838	0.1850660402

