# These numbers were manually extracted from the plot --- not high precision
# http://www.slac.stanford.edu/exp/glast/groups/canda/archive/pass7v6/lat_Performance_files/cPsfEnergy_P7SOURCE_V6.png
# P7SOURCE_V6 PSF, TOTAL, 95% Containment
# Energy: MeV
# Containment Angle: deg
# energy 	containment_angle
31.6227766017		38.3847234362
55.9145394976		28.0236533703
100					18.5911789281
176.8172991317		11.8376999231
319.8530490464		7.5375069011
559.1453949756		4.7994129478
988.6657856152		3.0559659774
1788.4435944316		1.9458479936
3126.4357272238		1.3449708483
5591.4539497557		1.0371500298
10114.6415153603	0.8563933126
17884.4359443164	0.8107946812
31264.3572722381	0.7676239474
55914.5394975565	0.7889140725
98866.5785615212	0.7781962056
174813.213956428	0.7781962056
316227.766016838	0.7997795533

